City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Rio Gallegos,AR,-51.6226,-69.2181,53.65,47,20,11.5,few clouds
312,Moree,AU,-29.4667,149.85,56.26,67,92,11.43,overcast clouds
313,Klaeng,TH,12.7797,101.6483,82.94,100,99,3.42,moderate rain
314,Saldanha,ZA,-33.0117,17.9442,51.85,88,27,6.55,scattered clouds
315,Sept-Iles,CA,50.2001,-66.3821,59.52,95,75,5.75,fog
316,Gra Liyia,GR,35.0167,25.6833,78.13,67,0,4.0,clear sky
317,Gelemso,ET,8.8167,40.5167,60.85,82,88,2.8,light rain
318,Sur,OM,22.5667,59.5289,85.23,58,94,8.59,overcast clouds
319,Itaituba,BR,-4.2761,-55.9836,88.11,34,40,1.03,scattered clouds
320,Ust-Nera,RU,64.5667,143.2,37.17,83,99,8.9,overcast clouds
321,Saint-Augustin,CA,51.226,-58.6502,57.25,78,0,9.17,clear sky
322,Neuenhagen,DE,52.5299,13.6891,62.19,85,100,3.96,overcast clouds
323,Soe,ID,-9.8607,124.284,68.47,76,14,2.06,few clouds
324,Coihaique,CL,-45.5752,-72.0662,51.75,58,40,5.75,scattered clouds
325,Goderich,CA,43.7501,-81.7165,80.92,57,68,13.8,broken clouds
326,Capinopolis,BR,-18.6819,-49.5697,85.87,20,12,4.81,few clouds
327,Mingaora,PK,34.7758,72.3625,68.97,83,24,5.32,few clouds
328,Haicheng,CN,40.8516,122.7475,66.38,71,19,2.86,few clouds
329,Carnarvon,AU,-24.8667,113.6333,63.43,62,0,8.12,clear sky
330,Karratha,AU,-20.7377,116.8463,70.23,45,0,9.13,clear sky
331,Alegrete,BR,-29.7831,-55.7919,49.33,67,0,7.99,clear sky
332,Kudahuvadhoo,MV,2.6708,72.8944,81.3,77,61,13.35,broken clouds
333,Palu,ID,-0.8917,119.8707,75.42,96,91,1.28,moderate rain
334,Palhoca,BR,-27.802,-48.6591,57.25,67,0,12.66,clear sky
335,Ayutthaya,TH,14.2833,100.5,81.01,93,100,4.36,overcast clouds
336,Ribeira Grande,PT,38.5167,-28.7,73.0,72,100,26.66,overcast clouds
337,Emba,KZ,48.8264,58.1442,49.08,70,70,20.96,broken clouds
338,Vestmannaeyjar,IS,63.4427,-20.2734,53.1,90,100,11.05,overcast clouds
339,Owensboro,US,37.7742,-87.1133,82.38,61,0,10.36,clear sky
340,Skibbereen,IE,51.55,-9.2667,60.57,92,100,11.34,overcast clouds
341,Atambua,ID,-9.1061,124.8925,74.79,72,62,3.09,broken clouds
342,Verkhoyansk,RU,67.5447,133.385,43.03,51,10,13.62,clear sky
343,Hirara,JP,24.8,125.2833,82.67,89,75,18.41,moderate rain
344,Turukhansk,RU,65.8167,87.9833,31.21,82,85,3.56,overcast clouds
345,Fortuna,US,40.5982,-124.1573,81.93,53,85,3.0,overcast clouds
346,Sanlucar De Barrameda,ES,36.7781,-6.3515,74.21,88,0,0.0,clear sky
347,Hofn,IS,64.2539,-15.2082,51.51,93,100,13.89,light rain
