City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
608,Khed Brahma,IN,81.1,broken clouds,24.0333,73.05,UMIYA NASTA HOUSE
609,Coos Bay,US,88.32,smoke,43.3665,-124.2179,Best Western Holiday Hotel
610,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
612,Esna,EG,82.42,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
615,San Policarpo,PH,78.94,broken clouds,12.1791,125.5072,Agapita M. Nicart
618,Lahad Datu,MY,75.54,overcast clouds,5.0268,118.327,The 27th House
619,Abnub,EG,80.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
620,Wenatchee,US,88.05,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
621,Chino Valley,US,86.41,clear sky,34.7575,-112.4538,Primrose Inn & Suites
623,Jieshi,CN,78.31,broken clouds,22.8134,115.8257,Yuehai Hotel
626,Galle,LK,77.43,overcast clouds,6.0367,80.217,Amangalla
631,Sabha,LY,79.7,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
635,Jacksonville,US,77.05,light rain,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
637,Bandarbeyla,SO,78.44,scattered clouds,9.4942,50.8122,JABIR HOTEL
639,Puerto Carreno,CO,84.18,broken clouds,6.189,-67.4859,Casa Hotel Victoria
641,Marzuq,YE,80.67,overcast clouds,14.4,46.4667,حيد القفلة
644,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
653,Cockburn Town,TC,84.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
657,Nara,JP,79.92,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
658,Upata,VE,82.18,broken clouds,8.0086,-62.3989,Posada Villa Nela
661,San Blas,MX,84.09,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
666,Grand-Santi,GF,76.23,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
669,Kutum,SD,78.85,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
670,Benjamin Constant,BR,84.33,heavy intensity rain,-4.3831,-70.0311,CASA AVALIADA
674,Dabwali,IN,82.78,clear sky,29.95,74.7333,Hotel Siddarth
675,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
680,Fairview,US,80.56,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
